detector,feature,auroc_with,auroc_without,delta,n_with,n_without
LOF,cls_mean,0.7392385124351643,0.7389247240324511,0.00031378840271312214,32,32
LOF,cls_max,0.7394862182471074,0.738677018220508,0.0008092000265993438,32,32
LOF,cls_std,0.7416249667508977,0.7365382697167178,0.0050866970341799655,32,32
LOF,head_entropy,0.752612859921532,0.7255503765460833,0.027062483375448698,32,32
LOF,diag_mean,0.7535193135722835,0.7246439228953319,0.028875390676951662,32,32
LOF,cls_token_raw,0.7787870727490358,0.738451372924042,0.040335699824993854,1,63
LOF,cls_token_pca,0.7454372880369731,0.7327259484306423,0.012711339606330752,32,32
DeepSVDD,cls_mean,0.6056804705856276,0.6085863382209513,-0.0029058676353237445,32,32
DeepSVDD,cls_max,0.611298287394157,0.6029685214124219,0.008329765981735182,32,32
DeepSVDD,cls_std,0.6086711234317507,0.6055956853748282,0.0030754380569224526,32,32
DeepSVDD,head_entropy,0.620712666799663,0.5935541420069159,0.027158524792747052,32,32
DeepSVDD,diag_mean,0.6024636545750766,0.6118031542315023,-0.009339499656425776,32,32
DeepSVDD,cls_token_raw,0.5965620428248438,0.6073012037934236,-0.010739160968579742,1,63
DeepSVDD,cls_token_pca,0.6519842440816599,0.5622825647249191,0.08970167935674078,32,32
ECOD,cls_mean,0.5833490573879505,0.6172288535709536,-0.033879796183003075,32,32
ECOD,cls_max,0.6000297163851576,0.6005481945737465,-0.0005184781885889667,32,32
ECOD,cls_std,0.5930471971006783,0.6075307138582258,-0.014483516757547443,32,32
ECOD,head_entropy,0.6075317528926719,0.5930461580662323,0.01448559482643963,32,32
ECOD,diag_mean,0.5855042226359889,0.6150736883229153,-0.02956946568692642,32,32
ECOD,cls_token_raw,0.7427117967814869,0.5980282754587849,0.144683521322702,1,63
ECOD,cls_token_pca,0.6595437391940417,0.5410341717648623,0.1185095674291794,32,32
IForest,cls_mean,0.6530023246664007,0.6894510296138671,-0.036448704947466326,32,32
IForest,cls_max,0.6679664294897371,0.6744869247905307,-0.006520495300793683,32,32
IForest,cls_std,0.6728565758412022,0.6695967784390655,0.003259797402136666,32,32
IForest,head_entropy,0.691693646927783,0.6507597073524849,0.04093393957529812,32,32
IForest,diag_mean,0.6732480840204814,0.6692052702597864,0.004042813760695041,32,32
IForest,cls_token_raw,0.733071773728776,0.670245008940314,0.06282676478846194,1,63
IForest,cls_token_pca,0.7046337472846567,0.637819606995611,0.06681414028904564,32,32
SO-GAAL,cls_mean,0.5934122099015826,0.5741847735736135,0.019227436327969083,32,32
SO-GAAL,cls_max,0.593113903112116,0.5744830803630802,0.018630822749035825,32,32
SO-GAAL,cls_std,0.5906043232145233,0.576992660260673,0.013611662953850301,32,32
SO-GAAL,head_entropy,0.5659275668306956,0.6016694166445006,-0.035741849813805016,32,32
SO-GAAL,diag_mean,0.5864241837345392,0.581172799740657,0.005251383993882142,32,32
SO-GAAL,cls_token_raw,0.30773706609921536,0.5881804191286834,-0.280443353029468,1,63
SO-GAAL,cls_token_pca,0.6571162430176885,0.5104807404575076,0.14663550256018087,32,32
AE,cls_mean,0.7326823782528705,0.7485950522565057,-0.015912674003635163,32,32
AE,cls_max,0.7423243062020659,0.7389531243073104,0.003371181894755493,32,32
AE,cls_std,0.7474561666001684,0.7338212639092079,0.01363490269096057,32,32
AE,head_entropy,0.7617611079709181,0.7195163225384581,0.04224478543246002,32,32
AE,diag_mean,0.7509069385334929,0.7303704919758833,0.020536446557609556,32,32
AE,cls_token_raw,0.7714922197100679,0.7401489770887298,0.03134324262133803,1,63
AE,cls_token_pca,0.7670052879926409,0.7142721425167353,0.052733145475905574,32,32
VAE,cls_mean,0.6908979889834641,0.7074712464534292,-0.016573257469965075,32,32
VAE,cls_max,0.6975520002105776,0.7008172352263156,-0.003265235015737944,32,32
VAE,cls_std,0.7019454188278583,0.6964238166090349,0.005521602218823474,32,32
VAE,head_entropy,0.7145395553486723,0.683829680088221,0.030709875260451325,32,32
VAE,diag_mean,0.7087364094294454,0.6896328260074478,0.019103583421997583,32,32
VAE,cls_token_raw,0.7555348672252515,0.6982901693135767,0.05724469791167486,1,63
VAE,cls_token_pca,0.7435808451921798,0.6547883902447134,0.08879245494746646,32,32
LUNAR,cls_mean,0.7984175505386354,0.809963509110254,-0.011545958571618664,32,32
LUNAR,cls_max,0.8010625166245511,0.8073185430243384,-0.0062560263997872845,32,32
LUNAR,cls_std,0.8074482145232079,0.8009328451256816,0.006515369397526283,32,32
LUNAR,head_entropy,0.8291141607926586,0.7792668988562308,0.049847261936427856,32,32
LUNAR,diag_mean,0.8113950907700492,0.7969859688788402,0.01440912189120902,32,32
LUNAR,cls_token_raw,0.8205279957441148,0.8039312049685767,0.016596790775538106,1,63
LUNAR,cls_token_pca,0.8619470258678015,0.7464340337810879,0.11551299208671362,32,32
