dataset,detector,feat_A,feat_B,coef,p_value,p_value_fdr,sig
sms_spam,LOF,cls_token_pca,cls_mean,0.0127,0.2606,0.6212,
sms_spam,LOF,cls_token_pca,cls_max,0.0656,0.0,0.0,synergy
sms_spam,LOF,cls_token_pca,cls_std,0.0365,0.0015,0.0154,synergy
sms_spam,LOF,cls_token_pca,head_entropy,-0.0635,0.0,0.0,interference
sms_spam,LOF,cls_token_pca,diag_mean,0.0039,0.7361,0.8863,
sms_spam,LOF,cls_mean,cls_max,0.0068,0.5347,0.7833,
sms_spam,LOF,cls_mean,cls_std,-0.0101,0.3799,0.716,
sms_spam,LOF,cls_mean,head_entropy,-0.0038,0.7275,0.8818,
sms_spam,LOF,cls_mean,diag_mean,0.0105,0.3605,0.7012,
sms_spam,LOF,cls_max,cls_std,0.0455,0.0,0.0006,synergy
sms_spam,LOF,cls_max,head_entropy,-0.0024,0.8212,0.9124,
sms_spam,LOF,cls_max,diag_mean,0.0065,0.5587,0.7856,
sms_spam,LOF,cls_std,head_entropy,-0.0141,0.2055,0.5686,
sms_spam,LOF,cls_std,diag_mean,0.0059,0.6121,0.8111,
sms_spam,LOF,head_entropy,diag_mean,-0.0114,0.3065,0.6568,
sms_spam,DeepSVDD,cls_token_pca,cls_mean,-0.0104,0.692,0.868,
sms_spam,DeepSVDD,cls_token_pca,cls_max,0.0602,0.0265,0.1733,
sms_spam,DeepSVDD,cls_token_pca,cls_std,0.0113,0.6791,0.8578,
sms_spam,DeepSVDD,cls_token_pca,head_entropy,0.0738,0.0055,0.0472,synergy
sms_spam,DeepSVDD,cls_token_pca,diag_mean,0.0166,0.5446,0.7833,
sms_spam,DeepSVDD,cls_mean,cls_max,-0.0148,0.6129,0.8111,
sms_spam,DeepSVDD,cls_mean,cls_std,-0.0268,0.361,0.7012,
sms_spam,DeepSVDD,cls_mean,head_entropy,-0.0217,0.4529,0.7445,
sms_spam,DeepSVDD,cls_mean,diag_mean,-0.0206,0.4811,0.763,
sms_spam,DeepSVDD,cls_max,cls_std,-0.0027,0.9291,0.9664,
sms_spam,DeepSVDD,cls_max,head_entropy,0.0242,0.4188,0.7248,
sms_spam,DeepSVDD,cls_max,diag_mean,0.0031,0.9183,0.961,
sms_spam,DeepSVDD,cls_std,head_entropy,0.0126,0.6742,0.8547,
sms_spam,DeepSVDD,cls_std,diag_mean,-0.0061,0.8413,0.92,
sms_spam,DeepSVDD,head_entropy,diag_mean,-0.0035,0.9083,0.9533,
sms_spam,ECOD,cls_token_pca,cls_mean,-0.0281,0.0003,0.0041,interference
sms_spam,ECOD,cls_token_pca,cls_max,-0.0016,0.8428,0.92,
sms_spam,ECOD,cls_token_pca,cls_std,-0.0164,0.0375,0.2168,
sms_spam,ECOD,cls_token_pca,head_entropy,0.0255,0.0002,0.0029,synergy
sms_spam,ECOD,cls_token_pca,diag_mean,-0.0136,0.0874,0.3792,
sms_spam,ECOD,cls_mean,cls_max,-0.0047,0.5442,0.7833,
sms_spam,ECOD,cls_mean,cls_std,-0.0206,0.0068,0.0536,
sms_spam,ECOD,cls_mean,head_entropy,0.0074,0.2604,0.6212,
sms_spam,ECOD,cls_mean,diag_mean,-0.0247,0.0014,0.015,interference
sms_spam,ECOD,cls_max,cls_std,-0.01,0.205,0.5686,
sms_spam,ECOD,cls_max,head_entropy,0.0081,0.2327,0.5911,
sms_spam,ECOD,cls_max,diag_mean,-0.0005,0.9471,0.9687,
sms_spam,ECOD,cls_std,head_entropy,0.0061,0.3608,0.7012,
sms_spam,ECOD,cls_std,diag_mean,-0.0134,0.0862,0.3786,
sms_spam,ECOD,head_entropy,diag_mean,0.0117,0.0851,0.3781,
sms_spam,IForest,cls_token_pca,cls_mean,0.1073,0.0,0.0002,synergy
sms_spam,IForest,cls_token_pca,cls_max,-0.0043,0.8656,0.9277,
sms_spam,IForest,cls_token_pca,cls_std,-0.0365,0.1446,0.4864,
sms_spam,IForest,cls_token_pca,head_entropy,-0.0901,0.0003,0.0043,interference
sms_spam,IForest,cls_token_pca,diag_mean,-0.0224,0.3538,0.7012,
sms_spam,IForest,cls_mean,cls_max,0.0359,0.1424,0.4835,
sms_spam,IForest,cls_mean,cls_std,0.0153,0.5263,0.7823,
sms_spam,IForest,cls_mean,head_entropy,0.037,0.1305,0.465,
sms_spam,IForest,cls_mean,diag_mean,0.0317,0.1774,0.5367,
sms_spam,IForest,cls_max,cls_std,0.0074,0.7713,0.8908,
sms_spam,IForest,cls_max,head_entropy,-0.0212,0.4096,0.7194,
sms_spam,IForest,cls_max,diag_mean,-0.0033,0.8938,0.9408,
sms_spam,IForest,cls_std,head_entropy,-0.0347,0.1703,0.5303,
sms_spam,IForest,cls_std,diag_mean,-0.0075,0.7561,0.8895,
sms_spam,IForest,head_entropy,diag_mean,-0.0333,0.1718,0.5303,
sms_spam,SO-GAAL,cls_token_pca,cls_mean,-0.038,0.2867,0.6479,
sms_spam,SO-GAAL,cls_token_pca,cls_max,0.0295,0.4045,0.7194,
sms_spam,SO-GAAL,cls_token_pca,cls_std,0.0026,0.9416,0.9685,
sms_spam,SO-GAAL,cls_token_pca,head_entropy,0.1333,0.0002,0.0026,synergy
sms_spam,SO-GAAL,cls_token_pca,diag_mean,0.0429,0.2194,0.5765,
sms_spam,SO-GAAL,cls_mean,cls_max,-0.0223,0.5353,0.7833,
sms_spam,SO-GAAL,cls_mean,cls_std,-0.0469,0.192,0.555,
sms_spam,SO-GAAL,cls_mean,head_entropy,-0.0083,0.8129,0.9095,
sms_spam,SO-GAAL,cls_mean,diag_mean,-0.0568,0.1121,0.4293,
sms_spam,SO-GAAL,cls_max,cls_std,-0.0321,0.3726,0.7078,
sms_spam,SO-GAAL,cls_max,head_entropy,0.0069,0.8456,0.92,
sms_spam,SO-GAAL,cls_max,diag_mean,-0.0168,0.6351,0.8254,
sms_spam,SO-GAAL,cls_std,head_entropy,-0.0022,0.9499,0.9687,
sms_spam,SO-GAAL,cls_std,diag_mean,-0.039,0.2681,0.635,
sms_spam,SO-GAAL,head_entropy,diag_mean,0.003,0.9328,0.9664,
sms_spam,AE,cls_token_pca,cls_mean,-0.0118,0.4674,0.7469,
sms_spam,AE,cls_token_pca,cls_max,0.0893,0.0,0.0001,synergy
sms_spam,AE,cls_token_pca,cls_std,0.0099,0.6129,0.8111,
sms_spam,AE,cls_token_pca,head_entropy,-0.1074,0.0,0.0,interference
sms_spam,AE,cls_token_pca,diag_mean,0.0484,0.0123,0.0942,
sms_spam,AE,cls_mean,cls_max,-0.0039,0.813,0.9095,
sms_spam,AE,cls_mean,cls_std,-0.0071,0.6653,0.8493,
sms_spam,AE,cls_mean,head_entropy,-0.0024,0.8824,0.9343,
sms_spam,AE,cls_mean,diag_mean,-0.0048,0.7721,0.8908,
sms_spam,AE,cls_max,cls_std,0.0431,0.0257,0.1717,
sms_spam,AE,cls_max,head_entropy,-0.0099,0.6084,0.8111,
sms_spam,AE,cls_max,diag_mean,0.0323,0.092,0.3851,
sms_spam,AE,cls_std,head_entropy,-0.0156,0.4253,0.7291,
sms_spam,AE,cls_std,diag_mean,0.016,0.4095,0.7194,
sms_spam,AE,head_entropy,diag_mean,0.0085,0.6634,0.8493,
sms_spam,VAE,cls_token_pca,cls_mean,-0.0057,0.6679,0.8496,
sms_spam,VAE,cls_token_pca,cls_max,0.0823,0.0,0.0,synergy
sms_spam,VAE,cls_token_pca,cls_std,0.0052,0.7204,0.8762,
sms_spam,VAE,cls_token_pca,head_entropy,-0.0465,0.0014,0.015,interference
sms_spam,VAE,cls_token_pca,diag_mean,0.0272,0.0635,0.3046,
sms_spam,VAE,cls_mean,cls_max,-0.0043,0.7492,0.8895,
sms_spam,VAE,cls_mean,cls_std,-0.018,0.1826,0.5389,
sms_spam,VAE,cls_mean,head_entropy,-0.0048,0.7135,0.8754,
sms_spam,VAE,cls_mean,diag_mean,0.0094,0.4845,0.765,
sms_spam,VAE,cls_max,cls_std,0.0459,0.0016,0.0154,synergy
sms_spam,VAE,cls_max,head_entropy,-0.0021,0.882,0.9343,
sms_spam,VAE,cls_max,diag_mean,0.0167,0.2487,0.6128,
sms_spam,VAE,cls_std,head_entropy,0.0039,0.7884,0.901,
sms_spam,VAE,cls_std,diag_mean,0.0124,0.3953,0.7194,
sms_spam,VAE,head_entropy,diag_mean,-0.0078,0.5965,0.8111,
sms_spam,LUNAR,cls_token_pca,cls_mean,0.0166,0.3985,0.7194,
sms_spam,LUNAR,cls_token_pca,cls_max,0.0597,0.0065,0.0528,
sms_spam,LUNAR,cls_token_pca,cls_std,-0.015,0.4947,0.771,
sms_spam,LUNAR,cls_token_pca,head_entropy,-0.2323,0.0,0.0,interference
sms_spam,LUNAR,cls_token_pca,diag_mean,0.0292,0.1821,0.5389,
sms_spam,LUNAR,cls_mean,cls_max,0.0118,0.5483,0.7833,
