dataset,detector,feature,coef,std_err,ci95_low,ci95_high,t_stat,p_value,p_value_fdr,sig
sms_spam,LOF,cls_token_pca,0.1454,0.0092,0.1274,0.1633,15.8595,0.0,0.0,+
sms_spam,LOF,cls_mean,-0.0053,0.009,-0.0229,0.0123,-0.5871,0.5571,0.663,
sms_spam,LOF,cls_max,-0.0337,0.009,-0.0514,-0.0161,-3.7425,0.0002,0.0005,-
sms_spam,LOF,cls_std,-0.0126,0.0092,-0.0306,0.0053,-1.3796,0.1677,0.2569,
sms_spam,LOF,head_entropy,0.0231,0.0087,0.006,0.0401,2.6464,0.0081,0.018,+
sms_spam,LOF,diag_mean,0.0073,0.0091,-0.0106,0.0251,0.7981,0.4248,0.5462,
sms_spam,DeepSVDD,cls_token_pca,0.0713,0.0127,0.0465,0.0962,5.6287,0.0,0.0,+
sms_spam,DeepSVDD,cls_mean,0.0563,0.0128,0.0311,0.0814,4.3821,0.0,0.0,+
sms_spam,DeepSVDD,cls_max,-0.0055,0.0132,-0.0314,0.0204,-0.4139,0.679,0.784,
sms_spam,DeepSVDD,cls_std,0.0337,0.0132,0.0078,0.0596,2.5477,0.0108,0.023,+
sms_spam,DeepSVDD,head_entropy,-0.0119,0.0132,-0.0377,0.0139,-0.9061,0.3649,0.482,
sms_spam,DeepSVDD,diag_mean,0.0089,0.0132,-0.017,0.0348,0.6722,0.5014,0.6149,
sms_spam,ECOD,cls_token_pca,0.0687,0.0052,0.0586,0.0788,13.319,0.0,0.0,+
sms_spam,ECOD,cls_mean,0.0303,0.0051,0.0203,0.0403,5.9562,0.0,0.0,+
sms_spam,ECOD,cls_max,-0.0015,0.0051,-0.0115,0.0084,-0.2966,0.7668,0.8429,
sms_spam,ECOD,cls_std,0.0178,0.0051,0.0077,0.0278,3.4622,0.0005,0.0014,+
sms_spam,ECOD,head_entropy,-0.0407,0.0047,-0.05,-0.0315,-8.6512,0.0,0.0,-
sms_spam,ECOD,diag_mean,0.0082,0.0052,-0.0019,0.0183,1.5905,0.1117,0.1847,
sms_spam,IForest,cls_token_pca,0.1652,0.0154,0.1351,0.1953,10.7618,0.0,0.0,+
sms_spam,IForest,cls_mean,-0.0863,0.0145,-0.1146,-0.058,-5.972,0.0,0.0,-
sms_spam,IForest,cls_max,-0.0291,0.0153,-0.0591,0.001,-1.8969,0.0578,0.1059,
sms_spam,IForest,cls_std,0.0233,0.0152,-0.0066,0.0531,1.5286,0.1264,0.2022,
sms_spam,IForest,head_entropy,0.049,0.0153,0.0191,0.0789,3.2087,0.0013,0.0033,+
sms_spam,IForest,diag_mean,-0.0018,0.0152,-0.0316,0.028,-0.1193,0.9051,0.9376,
sms_spam,SO-GAAL,cls_token_pca,-0.0709,0.0181,-0.1063,-0.0354,-3.9205,0.0001,0.0003,-
sms_spam,SO-GAAL,cls_mean,0.069,0.0182,0.0334,0.1046,3.8006,0.0001,0.0004,+
sms_spam,SO-GAAL,cls_max,0.0032,0.0183,-0.0327,0.0392,0.177,0.8595,0.921,
sms_spam,SO-GAAL,cls_std,0.0282,0.0183,-0.0076,0.064,1.5432,0.1228,0.1986,
sms_spam,SO-GAAL,head_entropy,-0.1141,0.0181,-0.1495,-0.0786,-6.3044,0.0,0.0,-
sms_spam,SO-GAAL,diag_mean,0.0523,0.0183,0.0165,0.0881,2.8601,0.0042,0.0097,+
sms_spam,AE,cls_token_pca,0.1505,0.0135,0.1241,0.1769,11.1644,0.0,0.0,+
sms_spam,AE,cls_mean,-0.0006,0.0129,-0.026,0.0247,-0.0496,0.9604,0.9604,
sms_spam,AE,cls_max,-0.0523,0.0133,-0.0783,-0.0263,-3.9402,0.0001,0.0003,-
sms_spam,AE,cls_std,-0.0007,0.0135,-0.0272,0.0258,-0.0515,0.959,0.9604,
sms_spam,AE,head_entropy,0.0669,0.0131,0.0413,0.0926,5.1105,0.0,0.0,+
sms_spam,AE,diag_mean,-0.0247,0.0133,-0.0509,0.0014,-1.8528,0.0639,0.115,
sms_spam,VAE,cls_token_pca,0.1754,0.0097,0.1563,0.1945,17.9876,0.0,0.0,+
