combo,n_blocks,dim,auroc,auprc
cls_max,1,12,0.3303,0.0703
cls_mean,1,12,0.2763,0.0708
cls_std,1,12,0.4599,0.0888
cls_token_pca,1,64,0.7454,0.2188
cls_token_raw,1,768,0.7338,0.2015
diag_mean,1,12,0.3538,0.0751
head_entropy,1,12,0.7900,0.2750
cls_max+cls_std,2,24,0.3862,0.0769
cls_max+diag_mean,2,24,0.3257,0.0709
cls_max+head_entropy,2,24,0.5599,0.1165
cls_mean+cls_max,2,24,0.3250,0.0698
cls_mean+cls_std,2,24,0.4162,0.0817
cls_mean+diag_mean,2,24,0.3062,0.0717
cls_mean+head_entropy,2,24,0.7559,0.2545
cls_std+diag_mean,2,24,0.4082,0.0816
cls_std+head_entropy,2,24,0.6804,0.1762
cls_token_pca+cls_max,2,76,0.7289,0.2060
cls_token_pca+cls_mean,2,76,0.7458,0.2201
cls_token_pca+cls_std,2,76,0.7562,0.2299
cls_token_pca+diag_mean,2,76,0.7473,0.2195
cls_token_pca+head_entropy,2,76,0.7644,0.2462
head_entropy+diag_mean,2,24,0.6710,0.2031
cls_max+cls_std+diag_mean,3,36,0.3606,0.0745
cls_max+cls_std+head_entropy,3,36,0.5789,0.1215
cls_max+head_entropy+diag_mean,3,36,0.5250,0.1062
cls_mean+cls_max+cls_std,3,36,0.3645,0.0741
cls_mean+cls_max+diag_mean,3,36,0.3168,0.0701
cls_mean+cls_max+head_entropy,3,36,0.5496,0.1128
cls_mean+cls_std+diag_mean,3,36,0.3928,0.0791
cls_mean+cls_std+head_entropy,3,36,0.6589,0.1638
cls_mean+head_entropy+diag_mean,3,36,0.6556,0.1845
cls_std+head_entropy+diag_mean,3,36,0.6281,0.1483
cls_token_pca+cls_max+cls_std,3,88,0.7352,0.2085
cls_token_pca+cls_max+diag_mean,3,88,0.7218,0.1989
cls_token_pca+cls_max+head_entropy,3,88,0.7517,0.2277
cls_token_pca+cls_mean+cls_max,3,88,0.7204,0.1994
cls_token_pca+cls_mean+cls_std,3,88,0.7493,0.2254
cls_token_pca+cls_mean+diag_mean,3,88,0.7403,0.2200
cls_token_pca+cls_mean+head_entropy,3,88,0.7578,0.2457
cls_token_pca+cls_std+diag_mean,3,88,0.7510,0.2248
cls_token_pca+cls_std+head_entropy,3,88,0.7738,0.2546
cls_token_pca+head_entropy+diag_mean,3,88,0.7628,0.2424
cls_max+cls_std+head_entropy+diag_mean,4,48,0.5404,0.1087
cls_mean+cls_max+cls_std+diag_mean,4,48,0.3515,0.0732
cls_mean+cls_max+cls_std+head_entropy,4,48,0.5549,0.1131
cls_mean+cls_max+head_entropy+diag_mean,4,48,0.5160,0.1031
cls_mean+cls_std+head_entropy+diag_mean,4,48,0.6138,0.1429
cls_token_pca+cls_max+cls_std+diag_mean,4,100,0.7155,0.1936
cls_token_pca+cls_max+cls_std+head_entropy,4,100,0.7494,0.2230
cls_token_pca+cls_max+head_entropy+diag_mean,4,100,0.7374,0.2154
cls_token_pca+cls_mean+cls_max+cls_std,4,100,0.7130,0.1933
cls_token_pca+cls_mean+cls_max+diag_mean,4,100,0.7047,0.1875
cls_token_pca+cls_mean+cls_max+head_entropy,4,100,0.7390,0.2194
cls_token_pca+cls_mean+cls_std+diag_mean,4,100,0.7330,0.2135
cls_token_pca+cls_mean+cls_std+head_entropy,4,100,0.7639,0.2457
cls_token_pca+cls_mean+head_entropy+diag_mean,4,100,0.7539,0.2402
cls_token_pca+cls_std+head_entropy+diag_mean,4,100,0.7614,0.2414
cls_mean+cls_max+cls_std+head_entropy+diag_mean,5,60,0.5318,0.1061
cls_token_pca+cls_max+cls_std+head_entropy+diag_mean,5,112,0.7405,0.2167
cls_token_pca+cls_mean+cls_max+cls_std+diag_mean,5,112,0.7019,0.1854
cls_token_pca+cls_mean+cls_max+cls_std+head_entropy,5,112,0.7360,0.2113
cls_token_pca+cls_mean+cls_max+head_entropy+diag_mean,5,112,0.7325,0.2129
cls_token_pca+cls_mean+cls_std+head_entropy+diag_mean,5,112,0.7598,0.2403
cls_token_pca+cls_mean+cls_max+cls_std+head_entropy+diag_mean,6,124,0.7276,0.2037
