detector,feature,auroc_with,auroc_without,delta,n_with,n_without
LOF,cls_mean,0.6626124152396276,0.6728218200494196,-0.010209404809792044,32,32
LOF,cls_max,0.648389388312646,0.6870448469764012,-0.03865545866375519,32,32
LOF,cls_std,0.6589334050444393,0.6765008302446078,-0.01756742520016852,32,32
LOF,head_entropy,0.6767812697534766,0.6586529655355706,0.01812830421790601,32,32
LOF,diag_mean,0.6688787567520975,0.6665554785369497,0.0023232782151477727,32,32
LOF,cls_token_raw,0.7612008198291386,0.6662332493558789,0.09496757047325965,1,63
LOF,cls_token_pca,0.7379247147119105,0.5975095205771368,0.14041519413477366,32,32
DeepSVDD,cls_mean,0.6498569319538623,0.5950399369405177,0.05481699501334458,32,32
DeepSVDD,cls_max,0.618988982149242,0.6259078867451379,-0.006918904595895836,32,32
DeepSVDD,cls_std,0.6385691668981216,0.6063277019962585,0.03224146490186308,32,32
DeepSVDD,head_entropy,0.6157626059105594,0.6291342629838206,-0.013371657073261156,32,32
DeepSVDD,diag_mean,0.6261708923144211,0.6187259765799589,0.007444915734462265,32,32
DeepSVDD,cls_token_raw,0.5916369765927288,0.6229375052067846,-0.031300528614055745,1,63
DeepSVDD,cls_token_pca,0.6573993181259498,0.5874975507684301,0.06990176735751963,32,32
ECOD,cls_mean,0.6831700229619201,0.6525210823468566,0.030648940615063514,32,32
ECOD,cls_max,0.667252237530169,0.6684388677786078,-0.0011866302484387914,32,32
ECOD,cls_std,0.6768823566735624,0.6588087486352143,0.01807360803834812,32,32
ECOD,head_entropy,0.6476418239761713,0.6880492813326053,-0.04040745735643403,32,32
ECOD,diag_mean,0.6721060558173391,0.6635850494914378,0.008521006325901248,32,32
ECOD,cls_token_raw,0.6164233996092403,0.6686617773058987,-0.0522383776966584,1,63
ECOD,cls_token_pca,0.7023508732233843,0.6333402320853925,0.06901064113799182,32,32
IForest,cls_mean,0.5065861383270122,0.5976806924331814,-0.09109455410616929,32,32
IForest,cls_max,0.5351982011965419,0.5690686295636518,-0.03387042836710985,32,32
IForest,cls_std,0.5613612320263316,0.542905598733862,0.018455633292469575,32,32
IForest,head_entropy,0.5742191490601335,0.53004768170006,0.04417146736007349,32,32
IForest,diag_mean,0.548827700998608,0.5554391297615855,-0.006611428762977489,32,32
IForest,cls_token_raw,0.6431141375831642,0.5506892769324291,0.09242486065073507,1,63
IForest,cls_token_pca,0.6323329793669948,0.47193385139319877,0.16039912797379607,32,32
SO-GAAL,cls_mean,0.6992176276433743,0.6164069383787304,0.08281068926464386,32,32
SO-GAAL,cls_max,0.6663285380272382,0.6492960279948665,0.017032510032371717,32,32
SO-GAAL,cls_std,0.6787932062406621,0.6368313597814428,0.0419618464592193,32,32
SO-GAAL,head_entropy,0.6076687934576486,0.7079557725644562,-0.10028697910680762,32,32
SO-GAAL,diag_mean,0.6908408815557598,0.6247836844663448,0.06605719708941504,32,32
SO-GAAL,cls_token_raw,0.2396300233689614,0.664450096656165,-0.42482007328720356,1,63
SO-GAAL,cls_token_pca,0.629278573104624,0.6863459929174807,-0.05706741981285668,32,32
AE,cls_mean,0.6420366253399992,0.6483195527892707,-0.006282927449271503,32,32
AE,cls_max,0.6161995767568222,0.6741566013724476,-0.05795702461562535,32,32
AE,cls_std,0.6420097636047581,0.6483464145245119,-0.006336650919753772,32,32
AE,head_entropy,0.675818262827389,0.6145379153018811,0.06128034752550793,32,32
AE,diag_mean,0.6300002982974499,0.6603558798318201,-0.030355581534370235,32,32
AE,cls_token_raw,0.7533632788057568,0.6434608638306489,0.10990241497510789,1,63
AE,cls_token_pca,0.7176012056404755,0.5727549724887944,0.1448462331516811,32,32
VAE,cls_mean,0.6000829845547766,0.602472905812231,-0.002389921257454408,32,32
VAE,cls_max,0.5666968904835331,0.6358589998834745,-0.06916210939994138,32,32
VAE,cls_std,0.5962336505063275,0.6063222398606802,-0.01008858935435275,32,32
VAE,head_entropy,0.619246450759172,0.5833094396078357,0.035937011151336296,32,32
VAE,diag_mean,0.5889057342147774,0.6136501561522303,-0.024744421937452854,32,32
VAE,cls_token_raw,0.6474144095825513,0.6005456203517728,0.04686878923077842,1,63
VAE,cls_token_pca,0.6872585686191881,0.5152973217478195,0.1719612468713686,32,32
LUNAR,cls_mean,0.6051535922595104,0.6336016663553997,-0.028448074095889342,32,32
LUNAR,cls_max,0.5866514684614795,0.6521037901534307,-0.06545232169195114,32,32
LUNAR,cls_std,0.6185935883806459,0.6201616702342643,-0.0015680818536183416,32,32
LUNAR,head_entropy,0.681948150715435,0.5568071078994752,0.12514104281595984,32,32
LUNAR,diag_mean,0.6027852701317856,0.6359699884831245,-0.03318471835133885,32,32
LUNAR,cls_token_raw,0.7338045435390568,0.6175613290815564,0.11624321445750041,1,63
LUNAR,cls_token_pca,0.741309742294947,0.4974455163199632,0.24386422597498375,32,32
