combo,LOF,DeepSVDD,ECOD,IForest,SO-GAAL,AE,VAE,LUNAR
cls_max,0.4977,0.5004 ± 0.0146,0.6001,0.4447 ± 0.0089,0.6946,0.4438 ± 0.0286,0.4162 ± 0.0148,0.3303
cls_mean,0.6351,0.7575 ± 0.0375,0.6919,0.2166 ± 0.0005,0.8327,0.7154 ± 0.0491,0.6401 ± 0.0291,0.2763
cls_std,0.5808,0.6311 ± 0.0253,0.6677,0.5771 ± 0.0285,0.7785,0.5718 ± 0.0222,0.5328 ± 0.0333,0.4599
cls_token_pca,0.7573,0.4320 ± 0.1159,0.6875,0.7036 ± 0.0230,0.4833,0.7091 ± 0.0113,0.7022 ± 0.0001,0.7454
cls_token_raw,0.7612,0.5916 ± 0.1104,0.6164,0.6431 ± 0.0209,0.2396,0.7534 ± 0.0100,0.6474 ± 0.0002,0.7338
diag_mean,0.6185,0.5968 ± 0.0594,0.6439,0.5737 ± 0.0487,0.8005,0.5109 ± 0.0181,0.5073 ± 0.0196,0.3538
head_entropy,0.7286,0.4713 ± 0.0505,0.4943,0.6291 ± 0.0141,0.4596,0.7469 ± 0.0252,0.6591 ± 0.0152,0.7900
cls_max+cls_std,0.5544,0.5763 ± 0.1185,0.6434,0.5267 ± 0.0108,0.7687,0.4958 ± 0.0021,0.4689 ± 0.0220,0.3862
cls_max+diag_mean,0.5347,0.5216 ± 0.1572,0.6440,0.4321 ± 0.0222,0.7584,0.4350 ± 0.0117,0.3995 ± 0.0080,0.3257
cls_max+head_entropy,0.5930,0.5275 ± 0.0502,0.5421,0.5414 ± 0.0025,0.4932,0.5699 ± 0.0006,0.4928 ± 0.0095,0.5599
cls_mean+cls_max,0.5140,0.6303 ± 0.0854,0.6787,0.2574 ± 0.0120,0.8081,0.4283 ± 0.0059,0.4019 ± 0.0052,0.3250
cls_mean+cls_std,0.5279,0.6822 ± 0.1016,0.6932,0.2831 ± 0.0108,0.8463,0.5540 ± 0.0136,0.4835 ± 0.0094,0.4162
cls_mean+diag_mean,0.6258,0.6501 ± 0.1066,0.6676,0.2879 ± 0.0289,0.8256,0.4689 ± 0.0114,0.5597 ± 0.0384,0.3062
cls_mean+head_entropy,0.6960,0.5866 ± 0.0574,0.6184,0.4588 ± 0.0434,0.6348,0.7427 ± 0.0310,0.6782 ± 0.0240,0.7559
cls_std+diag_mean,0.5872,0.5967 ± 0.1471,0.6653,0.5175 ± 0.0307,0.8026,0.5021 ± 0.0120,0.4983 ± 0.0064,0.4082
cls_std+head_entropy,0.6276,0.5745 ± 0.0564,0.5907,0.6065 ± 0.0301,0.5687,0.6620 ± 0.0108,0.6128 ± 0.0184,0.6804
cls_token_pca+cls_max,0.7291,0.6272 ± 0.0288,0.6986,0.6341 ± 0.0239,0.6055,0.7174 ± 0.0072,0.6743 ± 0.0018,0.7289
cls_token_pca+cls_mean,0.7327,0.6615 ± 0.0084,0.7197,0.6585 ± 0.0134,0.6741,0.7170 ± 0.0037,0.6936 ± 0.0037,0.7458
cls_token_pca+cls_std,0.7400,0.6487 ± 0.0102,0.7168,0.6683 ± 0.0504,0.6423,0.7293 ± 0.0052,0.6950 ± 0.0037,0.7562
cls_token_pca+diag_mean,0.7417,0.6299 ± 0.0332,0.7041,0.6398 ± 0.0157,0.6901,0.7253 ± 0.0028,0.6964 ± 0.0031,0.7473
cls_token_pca+head_entropy,0.7274,0.5808 ± 0.1440,0.6686,0.6777 ± 0.0322,0.5749,0.7328 ± 0.0067,0.7149 ± 0.0006,0.7644
head_entropy+diag_mean,0.6945,0.5849 ± 0.0813,0.5846,0.5775 ± 0.0250,0.5294,0.6684 ± 0.0123,0.5562 ± 0.0094,0.6710
cls_max+cls_std+diag_mean,0.5591,0.6013 ± 0.0417,0.6563,0.5228 ± 0.0292,0.7543,0.4795 ± 0.0251,0.4293 ± 0.0001,0.3606
cls_max+cls_std+head_entropy,0.6015,0.5348 ± 0.0503,0.5951,0.5497 ± 0.0481,0.5872,0.6126 ± 0.0155,0.5209 ± 0.0197,0.5789
cls_max+head_entropy+diag_mean,0.5835,0.5150 ± 0.0763,0.5966,0.5256 ± 0.0522,0.6015,0.5486 ± 0.0291,0.4651 ± 0.0104,0.5250
cls_mean+cls_max+cls_std,0.5253,0.5869 ± 0.0431,0.6790,0.3920 ± 0.0476,0.7768,0.4980 ± 0.0112,0.4528 ± 0.0163,0.3645
cls_mean+cls_max+diag_mean,0.5437,0.6253 ± 0.0365,0.6662,0.3514 ± 0.0920,0.8315,0.4358 ± 0.0168,0.4129 ± 0.0066,0.3168
cls_mean+cls_max+head_entropy,0.5793,0.5339 ± 0.0492,0.6226,0.4409 ± 0.0554,0.6904,0.5814 ± 0.0207,0.4861 ± 0.0171,0.5496
cls_mean+cls_std+diag_mean,0.5781,0.6642 ± 0.0283,0.6756,0.4435 ± 0.1063,0.8408,0.5025 ± 0.0172,0.4906 ± 0.0231,0.3928
cls_mean+cls_std+head_entropy,0.5950,0.5985 ± 0.0484,0.6414,0.5073 ± 0.0748,0.6977,0.6651 ± 0.0204,0.5736 ± 0.0395,0.6589
cls_mean+head_entropy+diag_mean,0.6942,0.5645 ± 0.0476,0.6275,0.4840 ± 0.0680,0.6957,0.6901 ± 0.0304,0.5849 ± 0.0250,0.6556
cls_std+head_entropy+diag_mean,0.6149,0.5516 ± 0.0810,0.6186,0.5739 ± 0.0349,0.6440,0.6371 ± 0.0252,0.5697 ± 0.0231,0.6281
cls_token_pca+cls_max+cls_std,0.7371,0.6594 ± 0.1370,0.7121,0.6171 ± 0.0359,0.5664,0.7026 ± 0.0080,0.6747 ± 0.0030,0.7352
cls_token_pca+cls_max+diag_mean,0.7399,0.6370 ± 0.1444,0.7072,0.6018 ± 0.0368,0.5795,0.7018 ± 0.0105,0.6678 ± 0.0070,0.7218
cls_token_pca+cls_max+head_entropy,0.7246,0.6942 ± 0.1171,0.6717,0.6271 ± 0.0089,0.4413,0.7254 ± 0.0032,0.6841 ± 0.0146,0.7517
cls_token_pca+cls_mean+cls_max,0.7355,0.6768 ± 0.1352,0.7233,0.5853 ± 0.0259,0.6223,0.6958 ± 0.0083,0.6764 ± 0.0029,0.7204
cls_token_pca+cls_mean+cls_std,0.7398,0.6869 ± 0.1384,0.7344,0.6047 ± 0.0177,0.6391,0.7086 ± 0.0095,0.6949 ± 0.0023,0.7493
cls_token_pca+cls_mean+diag_mean,0.7427,0.6627 ± 0.1478,0.7217,0.5934 ± 0.0277,0.6560,0.6932 ± 0.0029,0.6900 ± 0.0030,0.7403
cls_token_pca+cls_mean+head_entropy,0.7232,0.7037 ± 0.1315,0.6942,0.6241 ± 0.0161,0.4750,0.7235 ± 0.0056,0.7150 ± 0.0041,0.7578
cls_token_pca+cls_std+diag_mean,0.7506,0.6566 ± 0.1473,0.7191,0.6502 ± 0.0349,0.5819,0.7151 ± 0.0095,0.6845 ± 0.0046,0.7510
